metodo,x0_id,x0_x,x0_y,alpha_fijo,k,x_k,y_k,f_xk,alpha_k_opt
paso_fijo,0,-3.0,3.0,0.01,95,-2.659814112445717,3.5673436216927037,2.4020468346938784,
paso_fijo,0,-3.0,3.0,0.01,96,-2.6570631146590373,3.5725646262870114,2.405520375407446,
paso_fijo,0,-3.0,3.0,0.01,97,-2.6543374451095954,3.5777638899549307,2.4089574285127116,
paso_fijo,0,-3.0,3.0,0.01,98,-2.6516371899087923,3.5829413928497003,2.4123581524544804,
paso_fijo,0,-3.0,3.0,0.01,99,-2.6489624296646546,3.5880971210020234,2.415722716161816,
paso_fijo,0,-3.0,3.0,0.01,100,-2.6463132395887436,3.5932310662203792,2.4190512986792836,
paso_fijo,0,-3.0,3.0,0.01,101,-2.643689689603949,3.598343225990533,2.422344088800938,
paso_fijo,0,-3.0,3.0,0.01,102,-2.6410918444530322,3.6034336033743686,2.4256012847074397,
paso_fijo,0,-3.0,3.0,0.01,103,-2.638519763807809,3.608502206908175,2.428823093606668,
paso_fijo,0,-3.0,3.0,0.01,104,-2.6359735023788424,3.6135490505004983,2.432009731378174,
paso_fijo,0,-3.0,3.0,0.01,105,-2.633453110025536,3.618574153329678,2.4351614222217943,
paso_fijo,0,-3.0,3.0,0.01,106,-2.6309586318665197,3.6235775397411847,2.438278398310733,
paso_fijo,0,-3.0,3.0,0.01,107,-2.6284901083902166,3.628559239144861,2.4413608994493767,
paso_fijo,0,-3.0,3.0,0.01,108,-2.6260475755654906,3.6335192859121737,2.4444091727361315,
paso_fijo,0,-3.0,3.0,0.01,109,-2.6236310649522774,3.638457719273575,2.4474234722314883,
paso_fijo,0,-3.0,3.0,0.01,110,-2.621240603812101,3.643374583216074,2.4504040586315674,
paso_fijo,0,-3.0,3.0,0.01,111,-2.618876215218388,3.6482699263811056,2.4533511989473284,
paso_fijo,0,-3.0,3.0,0.01,112,-2.6165379181664923,3.653143801962788,2.456265166189632,
paso_fijo,0,-3.0,3.0,0.01,113,-2.614225727683344,3.6579962676066566,2.4591462390603276,
paso_fijo,0,-3.0,3.0,0.01,114,-2.6119396549366516,3.662827385308948,2.4619947016495063,
paso_fijo,0,-3.0,3.0,0.01,115,-2.6096797073435707,3.6676372213165185,2.464810843139058,
paso_fijo,0,-3.0,3.0,0.01,116,-2.6074458886787792,3.672425846027468,2.4675949575126497,
paso_fijo,0,-3.0,3.0,0.01,117,-2.6052381991818847,3.677193333892538,2.4703473432722194,
paso_fijo,0,-3.0,3.0,0.01,118,-2.603056635664099,3.681939763317349,2.4730683031610825,
paso_fijo,0,-3.0,3.0,0.01,119,-2.6009011916141285,3.686665216565546,2.4757581438937133,
paso_fijo,0,-3.0,3.0,0.01,120,-2.598771857303209,3.6913697796629013,2.4784171758922606,
paso_fijo,0,-3.0,3.0,0.01,121,-2.596668619889247,3.6960535423024403,2.4810457130298538,
